Elementos,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%,101%
2000,0.016793,0.019859,0.020392,0.021841,0.012675,0.009538,0.011940,0.014407,0.010341,0.010622,0.009071,0.009411,0.009961,0.008767,0.010009,0.009721,0.008762,0.011236,0.009948,0.009537,0.010130,0.009043,0.010407,0.009553,0.009372,0.009556,0.009437,0.011897,0.010029,0.009739,0.008986,0.011504,0.008936,0.010961,0.008937,0.010350,0.009308,0.009174,0.009164,0.010494,0.009349,0.009389,0.010505,0.009395,0.010076,0.009885,0.010555,0.010516,0.009902,0.011160,0.011085,0.009830,0.010352,0.010224,0.011203,0.009698,0.011134,0.010504,0.010206,0.011638,0.010021,0.011759,0.010387,0.010028,0.012176,0.011231,0.010068,0.012268,0.011399,0.010575,0.012675,0.010308,0.012633,0.010721,0.012369,0.010863,0.011607,0.012954,0.011958,0.010714,0.012237,0.014054,0.011930,0.011263,0.012642,0.013831,0.011895,0.018567,0.011884,0.011899,0.011409,0.011606,0.014491,0.015364,0.015384,0.015535,0.015488,0.014121,0.013582,0.014201,0.014766,0.014013
2500,0.013747,0.013509,0.013819,0.015252,0.015256,0.015266,0.015810,0.015192,0.015218,0.014372,0.013911,0.015190,0.014466,0.014611,0.014710,0.014334,0.013709,0.013991,0.013707,0.013979,0.014167,0.014327,0.013718,0.013887,0.014375,0.013808,0.015088,0.014863,0.014881,0.014778,0.014743,0.015167,0.015251,0.014735,0.015124,0.015598,0.015376,0.015501,0.015706,0.015579,0.015661,0.016415,0.015910,0.015566,0.016090,0.016419,0.016191,0.014730,0.016429,0.016948,0.016849,0.016404,0.016075,0.016414,0.015271,0.015410,0.016339,0.018143,0.015699,0.015418,0.017831,0.019182,0.017455,0.019086,0.018734,0.017666,0.018190,0.017031,0.017316,0.018450,0.017236,0.016497,0.017881,0.018098,0.018007,0.017963,0.022048,0.018979,0.018152,0.018455,0.019227,0.021066,0.019459,0.018204,0.019968,0.020370,0.020239,0.020172,0.018148,0.020197,0.020553,0.018175,0.018062,0.019273,0.023087,0.021226,0.021256,0.021292,0.023163,0.020305,0.019647,0.030349
3000,0.021769,0.021665,0.019377,0.020890,0.021303,0.019805,0.020406,0.020767,0.021223,0.020701,0.019669,0.019772,0.019736,0.020850,0.020926,0.022002,0.021170,0.019916,0.020511,0.020721,0.020636,0.021197,0.020954,0.019918,0.021121,0.020156,0.020116,0.020199,0.019891,0.020004,0.020093,0.020016,0.020716,0.020124,0.020189,0.020413,0.022713,0.021797,0.020798,0.021262,0.021741,0.024237,0.024520,0.034246,0.021132,0.021646,0.023926,0.023369,0.023195,0.021800,0.021667,0.021522,0.022557,0.023856,0.026115,0.026124,0.026458,0.027386,0.026211,0.027431,0.027516,0.027395,0.028062,0.026741,0.025891,0.023486,0.026628,0.022858,0.022999,0.023026,0.023265,0.023167,0.024097,0.024379,0.029991,0.028894,0.023843,0.030624,0.027998,0.025938,0.024945,0.025033,0.025689,0.030351,0.025142,0.025596,0.025199,0.025191,0.025588,0.034255,0.025789,0.028960,0.026965,0.032181,0.032525,0.027303,0.027086,0.027266,0.027243,0.027495,0.027836,0.031206
3500,0.026725,0.029788,0.029792,0.029773,0.026889,0.026100,0.026114,0.028899,0.026130,0.027061,0.027317,0.029704,0.026510,0.026323,0.026318,0.026322,0.026430,0.026670,0.026417,0.026508,0.026714,0.027116,0.027833,0.029535,0.030949,0.030698,0.026756,0.026823,0.030394,0.028692,0.031371,0.029906,0.027117,0.027176,0.027260,0.027390,0.027400,0.027485,0.030961,0.027644,0.027703,0.027760,0.027885,0.027911,0.028910,0.032130,0.029908,0.028502,0.028416,0.028564,0.028675,0.028687,0.029213,0.031303,0.029332,0.029174,0.033208,0.029863,0.029535,0.029677,0.035390,0.033077,0.036936,0.030339,0.030367,0.030913,0.030643,0.031733,0.031063,0.031141,0.031342,0.031632,0.034920,0.035294,0.032106,0.032460,0.032792,0.036172,0.042372,0.037390,0.037353,0.035205,0.039320,0.034064,0.033982,0.034399,0.034769,0.037220,0.037075,0.035371,0.035502,0.036348,0.037655,0.036727,0.036920,0.037405,0.047517,0.050339,0.041194,0.038352,0.038855,0.042705
4000,0.034214,0.034059,0.034126,0.036142,0.035736,0.034308,0.034257,0.034595,0.034415,0.035690,0.038933,0.040039,0.039074,0.039161,0.035194,0.035271,0.034444,0.034470,0.035905,0.035331,0.034587,0.034667,0.034994,0.034821,0.036262,0.038552,0.035087,0.035732,0.038458,0.037298,0.035283,0.037961,0.041175,0.037872,0.035596,0.035627,0.041834,0.042148,0.036247,0.036057,0.036687,0.036238,0.036462,0.036489,0.037221,0.037542,0.036904,0.041095,0.044606,0.037295,0.044895,0.045352,0.037762,0.037923,0.038038,0.038264,0.040406,0.040684,0.038708,0.038924,0.039153,0.039381,0.039926,0.039986,0.043064,0.047194,0.047396,0.040645,0.040784,0.041042,0.050650,0.042600,0.045412,0.044882,0.042408,0.042427,0.042900,0.043181,0.043572,0.043553,0.043967,0.044464,0.044999,0.044893,0.045355,0.047031,0.054112,0.057404,0.057123,0.052282,0.050271,0.049608,0.048302,0.048893,0.049450,0.054146,0.050256,0.057422,0.051700,0.075295,0.054720,0.064922
4500,0.044134,0.046019,0.048758,0.043092,0.049074,0.046566,0.043637,0.047138,0.046448,0.043588,0.043257,0.043359,0.043346,0.043387,0.043411,0.043558,0.043787,0.045552,0.043952,0.046145,0.043805,0.044811,0.043908,0.044032,0.044139,0.044153,0.049642,0.044496,0.044428,0.044879,0.044825,0.044652,0.044857,0.044936,0.045073,0.045090,0.045183,0.045486,0.045528,0.055411,0.055488,0.052606,0.047973,0.047614,0.050968,0.051563,0.050014,0.049036,0.047059,0.047262,0.056455,0.054862,0.048142,0.048194,0.048338,0.048369,0.049041,0.056793,0.053078,0.049898,0.057532,0.050955,0.054046,0.053466,0.051070,0.051097,0.051344,0.051593,0.051910,0.052282,0.052776,0.062391,0.053321,0.053782,0.060364,0.055800,0.055237,0.056321,0.055688,0.056241,0.056299,0.057371,0.060002,0.058408,0.057871,0.058362,0.061351,0.060176,0.059769,0.075824,0.064758,0.062616,0.066691,0.062723,0.063397,0.064228,0.072688,0.065425,0.066631,0.077054,0.067361,0.070332
5000,0.055080,0.053722,0.056557,0.057104,0.053297,0.057119,0.053256,0.053273,0.056137,0.053370,0.056177,0.054985,0.054975,0.054982,0.053916,0.053693,0.057316,0.058927,0.054694,0.055539,0.059606,0.054304,0.055917,0.055818,0.054370,0.055067,0.057590,0.062455,0.054928,0.055471,0.055194,0.062439,0.059481,0.056553,0.057926,0.056023,0.056469,0.056735,0.058462,0.061209,0.056786,0.056732,0.057049,0.057155,0.059931,0.058132,0.058744,0.059814,0.059763,0.068687,0.069620,0.062559,0.062170,0.060538,0.063243,0.060102,0.060401,0.060712,0.061412,0.061352,0.061635,0.066031,0.068775,0.062920,0.078793,0.073223,0.063989,0.066359,0.068496,0.065237,0.069290,0.088327,0.072986,0.076106,0.075409,0.079755,0.074275,0.070677,0.087619,0.070584,0.081140,0.071508,0.072181,0.071953,0.073982,0.083168,0.092576,0.078124,0.076268,0.092268,0.081020,0.077671,0.078365,0.079914,0.092713,0.094186,0.087125,0.088424,0.089698,0.084226,0.095221,0.088215
5500,0.064288,0.064381,0.070531,0.073280,0.067746,0.068692,0.065419,0.070869,0.074131,0.065153,0.072207,0.065568,0.064968,0.072431,0.071176,0.064910,0.068690,0.066049,0.065733,0.065307,0.071519,0.068380,0.067772,0.071325,0.068203,0.066880,0.066138,0.066185,0.068224,0.067126,0.066760,0.073731,0.070701,0.076067,0.068914,0.072840,0.067597,0.067795,0.068369,0.074630,0.069489,0.068667,0.074774,0.069320,0.069962,0.070562,0.079991,0.074820,0.071187,0.071956,0.082490,0.081932,0.072187,0.072463,0.079589,0.078812,0.074444,0.086876,0.074865,0.090594,0.080762,0.082866,0.076187,0.079091,0.083381,0.081004,0.083229,0.087846,0.096480,0.099971,0.081202,0.087076,0.082630,0.084452,0.088266,0.091653,0.088783,0.091277,0.096481,0.092095,0.088703,0.098212,0.099944,0.099797,0.090308,0.094165,0.092657,0.101553,0.099921,0.109876,0.101165,0.103837,0.096280,0.112126,0.105853,0.108404,0.106802,0.123409,0.111137,0.125773,0.106807,0.107960
6000,0.091748,0.076708,0.079291,0.076662,0.076655,0.077524,0.079554,0.082697,0.081395,0.082537,0.077113,0.082483,0.081164,0.080660,0.084940,0.084759,0.082491,0.078661,0.079793,0.078210,0.077956,0.077903,0.079208,0.084297,0.080968,0.079136,0.083937,0.089858,0.078984,0.080387,0.079272,0.080419,0.085581,0.080855,0.080100,0.090986,0.085584,0.085296,0.085969,0.081269,0.103961,0.093157,0.091587,0.086398,0.093198,0.089127,0.088148,0.091610,0.085615,0.085598,0.091526,0.085943,0.086582,0.086355,0.087937,0.100359,0.094475,0.088195,0.088812,0.090237,0.107802,0.103853,0.113036,0.106568,0.096311,0.108155,0.101974,0.107364,0.101894,0.111955,0.096326,0.098912,0.111459,0.105306,0.106403,0.100895,0.103007,0.116416,0.109898,0.119945,0.108874,0.127302,0.132990,0.143146,0.119936,0.110184,0.114480,0.117029,0.118960,0.114194,0.117763,0.116351,0.117157,0.119318,0.122560,0.123060,0.123959,0.136816,0.127474,0.130673,0.135166,0.151042
