Elementos,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500
60,0.006264,0.008511,0.01294,0.02023,0.021548,0.027618,0.033223,0.041162,0.052355,0.059218
61,0.005815,0.008423,0.012059,0.018877,0.022506,0.028145,0.035413,0.043066,0.047693,0.057877
62,0.005348,0.009141,0.012453,0.017553,0.020903,0.027349,0.034771,0.03864,0.052364,0.055519
63,0.005195,0.008354,0.011456,0.017008,0.021266,0.026839,0.034993,0.039754,0.048528,0.053523
64,0.005056,0.008536,0.011357,0.015279,0.019883,0.026591,0.030949,0.03911,0.04483,0.051846
65,0.005096,0.007742,0.011558,0.015794,0.020092,0.025275,0.031768,0.044202,0.043414,0.050797
66,0.00486,0.008262,0.010852,0.014744,0.019011,0.024643,0.029651,0.036446,0.044576,0.054821
67,0.004855,0.007621,0.010493,0.016363,0.018627,0.024983,0.028764,0.05259,0.044318,0.051988
68,0.004641,0.007793,0.010259,0.014482,0.01817,0.025123,0.029373,0.03811,0.042253,0.047165
69,0.004589,0.007001,0.011436,0.013592,0.018183,0.022741,0.029221,0.0349,0.040081,0.052996
70,0.004425,0.006825,0.009839,0.01321,0.018056,0.023018,0.028962,0.033845,0.039924,0.048175
71,0.004289,0.006641,0.00958,0.013872,0.016825,0.023123,0.02608,0.03389,0.03908,0.046194
72,0.004366,0.007214,0.009292,0.012513,0.018608,0.021157,0.025326,0.031816,0.036312,0.043633
73,0.004246,0.006313,0.009129,0.012864,0.016512,0.022012,0.0266,0.030602,0.038253,0.042694
74,0.003976,0.006696,0.008688,0.0119,0.015296,0.020341,0.023911,0.028882,0.034692,0.041552
75,0.003933,0.00593,0.008393,0.011771,0.015644,0.020011,0.025117,0.027919,0.033111,0.038831
76,0.003702,0.005706,0.008138,0.011001,0.015522,0.018639,0.025244,0.029179,0.034309,0.038267
77,0.003586,0.005557,0.007895,0.010598,0.013941,0.017531,0.022164,0.02684,0.031801,0.037644
78,0.003448,0.00532,0.007584,0.010273,0.013452,0.017751,0.022479,0.025148,0.031698,0.035042
79,0.003329,0.00527,0.007297,0.009832,0.013397,0.017721,0.020448,0.026586,0.030172,0.034565
80,0.003224,0.005273,0.008066,0.010073,0.012614,0.015576,0.020686,0.023954,0.03045,0.033837
81,0.003069,0.004882,0.006842,0.009125,0.011925,0.015712,0.021117,0.0228,0.027004,0.032114
82,0.002978,0.004579,0.006758,0.008687,0.01128,0.014132,0.017563,0.021046,0.026933,0.032002
